region,id
Баку,209
Кипр,173
Оман,237
Падуя,66
Прага,92
Эр-Рияд,216
Сантьяго,101
ОАЭ,99
Абакан,69
Абхазия,248
Актау,196
Актобе,167
Алматы,67
Альметьевск,108
Анадырь,155
Армавир,106
Архангельск,49
Астана,68
Астрахань,8
Атырау,168
Баган,176
Балаково,121
Барабинск,177
Барнаул,4
Белгород,46
Бийск,20
Благовещенск,52
Братск,51
Брянск,62
Бухара,251
Великий Новгород,77
Венгерово,178
Владивосток,25
Владикавказ,114
Владимир,59
Волгоград,33
Волгодонск,122
Вологда,78
Воронеж,31
Грозный,115
Довольное,179
Дудинка гп,277
Душанбе,274
Екатеринбург,9
Елец,126
Жезказган,242
Здвинск,180
Иваново,65
Ижевск,41
Иркутск,11
Ишим,205
Йошкар-Ола,70
КавМинВоды,89
Казань,21
Калининград,40
Калуга,61
Каменск-Уральский,109
Камышин,127
Караганда,84
Карасук,181
Караул сп,278
Каргат,182
Кемерово,5
Киров,58
Ковров,129
Когалым,207
Кокшетау,201
Комсомольск-на-Амуре,94
Костанай,203
Кострома,34
Кочки,183
Краснодар,23
Краснодарский край,283
Краснозёрское,184
Красноярск,7
Крым,174
Куйбышев,185
Кумертау,210
Купино,186
Курган,10
Курск,73
Кызылорда,240
Кыргызстан,112
Кыштовка,187
Ленинск-Кузнецкий,86
Липецк,56
Магадан,158
Магнитогорск,26
Майкоп,131
Махачкала,113
Миасс и Златоуст,87
Минск,217
Мичуринск,245
Москва,32
Московская область,241
Мурманская область,96
Муром,132
Набережные Челны,29
Назрань,154
Нальчик,134
Нарьян-Мар,159
Находка,82
Невинномысск,135
Нижневартовск,12
Нижний Новгород,19
Нижний Тагил,45
Новокузнецк,6
Новороссийск,74
Новосибирск,1
Новочеркасск,137
Новошахтинск,138
Новый Уренгой,139
Норильск,76
Ноябрьск,103
Нягань,202
Омск,2
Оренбург,48
Орск,142
Орёл,71
Павлодар,111
Пенза,42
Пермь,16
Петрозаводск,80
Петропавловск,170
Петропавловск-Камчатский,95
Пикалево,213
Псков,90
Республика Алтай,27
Ростов-на-Дону,24
Рубцовск,143
Рыбинск,144
Рязань,44
Салехард,160
Самара,18
Самарканд,247
Санкт-Петербург,38
Саранск,85
Саратов,43
Северное,188
Семей,169
Сланцы,215
Смоленск,63
Сочи,30
Ставрополь,57
Старый Оскол,60
Стерлитамак,54
Сургут,39
Сыктывкар,72
Сясьстрой,214
Таганрог,116
Тамбов,81
Тараз,221
Татарск,189
Ташкент,208
Тверь,47
Тобольск,97
Тольятти,22
Томск,3
Тула,36
Туркестан,232
Тюмень,13
Убинское,190
Улан-Удэ,37
Ульяновск,55
Уральск,162
Уссурийск,83
Усть-Каменогорск,91
Усть-Тарка,191
Уфа,17
Ухта,204
Хабаровск,35
Ханты-Мансийск,150
Хасавюрт,151
Хатанга сп,276
Чаны,192
Чебоксары,53
Челябинск,15
Черкесск,118
Чистоозёрное,193
Чита,64
Чулым,166
Шахты,152
Шерегеш,206
Шымкент,161
Экибастуз,252
Элиста,153
Южно-Сахалинск,88
Якутск,50
Ярославль,28
Армения,253
Эль-Баха,229
Бахрейн,233
Эль Джауф,230
Эль Худуд эш Шамалия,226
Эд-Даммам,220
Эль Касим,222
Кувейт,235
Медина,219
Басра,243
Табук,224
Джизан,227
Хаиль,225
Катар,234
Асир,223
Мекка,218
Наджран,228
Неом,250
Батуми,255
